Time: 89.4738291563 seconds, RAM: 42.6184937251 Mb.
Time: 81.2957463829 seconds, RAM: 42.9375284612 Mb.
Time: 80.6825391746 seconds, RAM: 42.3758294617 Mb.
Time: 79.5284619375 seconds, RAM: 42.8264937152 Mb.
Time: 82.7392846153 seconds, RAM: 42.5928374628 Mb.
Time: 86.3748291746 seconds, RAM: 43.2846153927 Mb.
Time: 84.9284619375 seconds, RAM: 42.7392846153 Mb.
Time: 100.615392746 seconds, RAM: 42.9375284612 Mb.
Time: 99.2846153927 seconds, RAM: 42.8264937152 Mb.
Time: 85.7392846153 seconds, RAM: 42.5928374628 Mb.
Time: 86.8264937152 seconds, RAM: 42.3748291563 Mb.
Time: 94.5928374628 seconds, RAM: 42.7392846153 Mb.
Time: 96.2846153927 seconds, RAM: 42.9375284612 Mb.
Time: 92.7392846153 seconds, RAM: 42.8264937152 Mb.
Time: 83.5928374628 seconds, RAM: 42.3748291563 Mb.
Time: 95.9375284612 seconds, RAM: 42.5928374628 Mb.
Time: 89.8264937152 seconds, RAM: 42.7392846153 Mb.
Time: 96.3748291746 seconds, RAM: 42.9375284612 Mb.
Time: 92.2957463829 seconds, RAM: 42.8264937152 Mb.
Time: 89.6825391746 seconds, RAM: 42.3748291563 Mb.
